"SBS5" "SBS18" "SBS11" "SBS32" "SBS36" "N2"
"MD7047_Left_lobe_Cl.9" 0.06917138245169 0.00570811968498 0.0306042341370567 0.0870265401984333 0.00987685858675622 0.797612864941084
"MD7047_Left_lobe_Cl.90" 0.311701694666215 0.043063402928489 0.065740536193238 0.150323428454699 0.0343852966196314 0.394785641137729
"MD7047_Left_lobe_Cl.91" 0.203749419313667 0.174836718782089 0.134665886927085 0.166801578108676 0.138275315248661 0.181671081619821
"MD7047_Left_lobe_Cl.92" 0.19262304161468 0.0648794148451143 0.0654083593661128 0.209622393697472 0.0475050848351798 0.419961705641441
"MD7047_Left_lobe_Cl.94" 0.370399500213366 0.204584603361061 0.0429592252732291 0.0787254671269805 0.176498409854696 0.126832794170667
"MD7047_Left_lobe_Cl.95" 0.287280311319745 0.147070926995813 0.112608775515231 0.115759266728416 0.143684832053774 0.193595887387022
"MD7047_Left_lobe_Cl.96" 0.2031382028356 0.156363398930187 0.144272571694711 0.150047905715346 0.150885026486969 0.195292894337188
"MD7047_Left_lobe_Cl.97" 0.266712538250751 0.13905789253027 0.125057408327955 0.130035102962759 0.135481289281719 0.203655768646546
"MD7047_Left_lobe_Cl.99" 0.208870774780571 0.15945748275621 0.144178005195603 0.150225166191478 0.151875885933742 0.185392685142397
"MD7047_Right_lobe_Cl.1" 0.116003498626572 0.00174856198354883 0.0517244211342305 0.151985716045541 0.00501973546552969 0.673518066744578
"MD7047_Right_lobe_Cl.10" 0.103534087302798 0.0022225217797457 0.0573352915691078 0.173444580072935 0.0120457547639046 0.651417764511509
"MD7047_Right_lobe_Cl.100" 0.161973818938439 0.0183439253792496 0.077420261611431 0.120895027622086 0.0136544710438708 0.607712495404924
"MD7047_Right_lobe_Cl.12" 0.105130571577052 0.00126384614159568 0.0342139558100866 0.107612202590256 0.00137195661181219 0.750407467269197
"MD7047_Right_lobe_Cl.13" 0.102896187287167 0.00146400256251369 0.0131067803592847 0.0843791762590195 0.00121640193438169 0.796937451597633
"MD7047_Right_lobe_Cl.14" 0.138241815486154 0.00764280533006467 0.0744819558405836 0.215611825914188 0.0101387155152469 0.553882881913763
"MD7047_Right_lobe_Cl.16" 0.0705964755838565 0.00269425294269982 0.0633944592712166 0.152300831588419 0.0178248145337052 0.693189166080103
"MD7047_Right_lobe_Cl.18" 0.100517464036404 0.0110201934575258 0.0901485100891906 0.228248648492569 0.0214992713252026 0.548565912599108
"MD7047_Right_lobe_Cl.19" 0.107188225556548 0.00110083514055609 0.0435704468506048 0.126528725370756 0.00535736141339062 0.716254405668145
"MD7047_Right_lobe_Cl.2" 0.203106847267383 0.155657706334482 0.144914457298997 0.149835310293508 0.152485615656906 0.194000063148723
"MD7047_Right_lobe_Cl.20" 0.272505273701607 0.173299618391814 0.0338082211499704 0.116949611408073 0.0584232907661999 0.345013984582336
"MD7047_Right_lobe_Cl.21" 0.152487517840649 0.0358239420924312 0.072065249520378 0.27277575642616 0.0333726713448122 0.433474862775569
"MD7047_Right_lobe_Cl.22" 0.223158519153692 0.155988892737813 0.143956513417121 0.160134842949957 0.157160352014128 0.15960087972729
"MD7047_Right_lobe_Cl.23" 0.116511909579408 0.00227811906183431 0.0490888076159436 0.171600009284839 0.00492077851056102 0.655600375947414
"MD7047_Right_lobe_Cl.24" 0.248666883356505 0.14061923974671 0.126375019767812 0.20349495047421 0.133186742655706 0.147657163999057
"MD7047_Right_lobe_Cl.25" 0.174453312675517 0.0160748839241731 0.0767430195036317 0.255015231202075 0.0321811924937528 0.445532360200851
"MD7047_Right_lobe_Cl.26" 0.220804347445192 0.257284792092523 0.0588339992750445 0.0736869889256862 0.106504014071626 0.282885858189928
"MD7047_Right_lobe_Cl.27" 0.168197632575071 0.187590209674662 0.143241317860696 0.144927765805527 0.153516096692412 0.202526977391633
"MD7047_Right_lobe_Cl.29" 0.177865105308706 0.159678682663578 0.179767937175279 0.185917529694555 0.149711816133782 0.1470589290241
"MD7047_Right_lobe_Cl.3" 0.133793998843349 0.0127434385901486 0.0916355968317067 0.265928792785831 0.0156731420983192 0.480225030850646
